id_cliente,nombre,apellido,email,telefono,direccion,id_localidad
1,Joseph,Glass,riverakayla@example.net,842-870-1295x60582,"50330 Johnston Orchard Apt. 787
Port Garyton, OK 69122",4
2,Marcus,Perkins,npeters@example.org,996.398.6148,"7256 Chang Orchard Apt. 829
Claytonville, ME 38745",1
3,Angela,Terry,jennifer39@example.org,997-351-3932x12896,"980 Lam Fall
Kevinmouth, TN 80939",5
4,William,Taylor,perkinskimberly@example.org,7896517661,"293 James Walk Suite 279
Lake Robertton, IN 45961",3
5,Olivia,Anderson,brianclark@example.net,993-898-2470x95175,"2241 Roberts Lodge Apt. 762
New David, NM 18725",4
6,Andrea,Wilson,fholt@example.net,(606)989-7333,"33063 Schmidt Trail
North Sharonhaven, MN 27259",5
7,Leslie,Lee,dawsonray@example.net,+1-878-815-4961,"170 Anderson Dale Apt. 295
West Jordanmouth, MA 78406",4
8,Alyssa,Campos,ayersdustin@example.org,346.949.7256x79006,"58421 Barry Spring
Port Joanne, VA 39437",5
9,Diane,Steele,qwalter@example.com,001-443-953-8665x232,"50034 Melinda Ridge
Martinborough, RI 90222",5
10,Benjamin,Bullock,kwilliams@example.org,599.575.3941x13945,"5725 Jessica Tunnel
Port Michael, MT 31095",3
11,Brady,Chandler,ehansen@example.com,370-241-3391x7588,"0920 Melissa Lodge
Port Jessica, IN 19131",5
12,James,Trevino,megan24@example.net,223.635.8830,"89476 Lisa Mills
New Kyleton, ID 13611",1
13,Colleen,Henderson,grahamjohn@example.com,(536)870-2757,"2189 Thomas Grove
Justintown, MP 23331",1
14,Sydney,Sherman,ftucker@example.org,8377130576,"62919 Johnson Circles Suite 784
Lynnhaven, MA 18251",3
15,Jeff,Miller,achapman@example.com,8463012260,"025 Elizabeth Tunnel
South Amandaville, IL 85187",5
16,Travis,Nelson,kevin01@example.org,503.734.3175,"8915 Nicholas Unions Apt. 296
Evansbury, VA 21826",5
17,Michael,Oconnor,eileenzuniga@example.org,001-983-592-1883x507,"44236 Maynard Spurs Apt. 380
Lake Kennethville, WI 85246",1
18,Raymond,Brown,wgreen@example.com,(373)801-8714x179,"573 Waller Cove
Aaronland, VT 94542",2
19,Monique,Wilson,daniellemccann@example.com,848.935.5011x150,"35211 Ronald Street Suite 969
North Kelly, AL 44078",4
20,Danielle,Villa,victoria56@example.org,3173540911,"35187 Debbie Lights Apt. 406
Andersonport, NV 15006",2
21,Eric,Strong,frobinson@example.org,224.207.0841x31451,"90428 Marshall Drive
Sharontown, PA 86160",5
22,Michelle,Vincent,maria06@example.net,+1-336-791-7499,"02527 Alicia Corners
Cookberg, WI 26137",1
23,Mark,Roberts,maria66@example.org,7182729751,"61910 Bowman Locks Suite 855
North Zacharybury, KY 92811",4
24,Alice,Silva,adkinsrita@example.net,442.679.8360x24049,"5209 Mckee Knoll Suite 243
North Drew, MS 20901",1
25,Alexander,Perry,valeriealexander@example.com,598.576.2148x60274,"7546 Larsen Keys
Nicolefurt, VA 97994",3
26,Eric,Brown,kennethriley@example.net,001-752-746-2250x4873,"80518 Melendez Hollow
South April, KS 41271",3
27,Marcus,Wilson,millerluis@example.com,001-491-789-4113x156,"USS Henry
FPO AE 65417",1
28,Susan,Gonzalez,rodrigueztamara@example.net,001-695-628-0777x7429,"16535 Anna Grove Apt. 061
Port Zachary, NE 12681",1
29,Julie,Kelley,matthewfox@example.org,(924)607-4686,"491 Gonzalez Mount Suite 173
Lake Darrell, SC 18484",3
30,Sherry,Morse,lmiddleton@example.org,001-665-790-7722x64962,"Unit 6266 Box 6222
DPO AE 10526",4
31,Larry,Collins,ryanamber@example.com,927.732.1169,"779 Miller Grove Apt. 770
Markside, NY 82105",1
32,Michael,Gonzalez,dgreer@example.net,891-783-0528x806,"5137 Gabrielle Overpass Suite 069
Phillipsbury, MP 43895",4
33,Joe,Lynch,ismith@example.net,461-664-2180,"Unit 8090 Box 9206
DPO AA 01767",3
34,Michael,Lewis,gsmith@example.com,(353)391-5601x08685,"9130 Felicia Fords Suite 417
Cherylport, FM 99073",1
35,Danielle,Wells,austin08@example.net,001-602-580-4927x645,"1880 Kristine Mission Suite 937
East Breannaside, DE 73054",4
36,David,Barnett,crobertson@example.net,758-761-9562x82785,"USS Jones
FPO AE 16120",3
